full_text;conversation_id_str
Alienoid: Return to The Future (2024) Rating: Taksiiii / 10 https://t.co/KpQn60Rni0;1750780331039617051
Meski agak lama ya panasnya, Alienoid Part 2: Return to The Future menurut kami adalah sajian film action yang solid.  Keabsurdannya yang di luar nalar, dan actionnya yang fantastis, kami rasa film ini bakalan sayang banget untuk dilewatkan! https://t.co/fL3lvyGSbN;1750780331039617051
@primevideoid @CGV_ID Namun kemunculan karakter-karakter baru ini sayangnya bikin alur filmnya jadi ngulang-ngulang, dan sedikit bikin bosen. Filmnya tu kaya jadi lama banget panasnya.  Untungnya ada duet Tante Yum Jung-Ah dan Om Jo Woo-jin sebagai duo penyihir yang membantu memecah kebosanan ini.… https://t.co/daO6OGhUbL;1750780331039617051
FYI, film pertamanya bisa ditonton di @primevideoid, atau coba cek aplikasi CGV kalian, cek apakah bioskop di kota kalian nayangin film pertamanya lagi.  Karena @CGV_ID lagi ngadain event buat nayangin beberapa film lama mereka, salah satunya Alienoid Part 1. https://t.co/MR5Im3GOMk;1750780331039617051
Jadi agak wajib sih buat nonton film pertamanya dulu untuk sepenuhnya merasakan keabsurdan dan keseruan cerita yang disajikan. Karena world buildingnya tu ribet banget, dan filmnya pun memang didesign patah 2.  Jadi rasanya mustahil sih bisa ngerti tanpa nonton filmnya yang… https://t.co/J9JvFh8rVv;1750780331039617051
Alienoid part 2 memperkenalkan banyak karakter baru, yang nantinya akan menjadi kunci penting untuk persiapan melawan final boss.  Kemunculan mereka membuka banyak rahasia dari film sebelumnya, sambil menampar kita dengan plot twist plot twist yang bombastis. https://t.co/cYXbBSZn62;1750780331039617051
Porsi action yang mengasyikkan ini juga tentunya didukung set yang cakep banget.  Apalagi pas setting masa lalunya, dan adegan keretanya. Epic bangettttt! https://t.co/HnFrhh3hew;1750780331039617051
Performa jajaran castnya beneran ga kaleng-kaleng sih.  Ryu Jun-yeol, Kim Tae-ri, Jin Seon Kyu, Lee Hanee sampe Abang Kim Woo Bin, tampil prima mempamerkan koreografi pertarungan yang sengit banget.  Tapi Abang Kim Woo Bin di sini dikit banget T-T haduuuuh pengen lebih banyak… https://t.co/nXaBHODv4R;1750780331039617051
Memang ga salah sih film ini langsung ngeclaim predikat 'Film Action Blockbuster Korea Tahun Ini!', meskipun 2024 baru saja dimulai. Karena memang porsi aksinya segede ituuuu 🤣  Asli sih seru banget ya mana aksinya tu nyampur-nyampur antara bela diri yang bisa terbang-terbang,… https://t.co/fZWM3CFZ9m;1750780331039617051
Penantian panjang ini untungnya tydack sia-sia ya bund.  Alienoid: Return To The Future kembali menghiasi bioskop dengan cerita yang tak kalah absurd dan bombastis.   https://t.co/8Iob63SUwC;1750780331039617051
Setelah nyaris 2 tahun, akhirnya release juga ini CD 2 Petualangan Ean Mencari Bilah Ilahi :')))))) https://t.co/qOt08GCLY8;1750780331039617051
Oke berikut review kami untuk Alienoid: Return to The Future (2024)  #wmidreview https://t.co/0qbh9aFIrv;1750780331039617051
Pemukiman Setan (2024) Rating: Bacot / 10 https://t.co/tJkTERSn6L;1750740781038772255
"Akhir kata, terlepas dari kekurangannya Pemukiman Setan adalah film horror yg tak hanya bikin ngilu tetapi juga penuh aksi dan sangat menyenangkan untuk diikuti.   Sedikit info, ada 1 mid credit scene yang lumayan menarik"" https://t.co/T0KJWT5Kq3""";1750740781038772255
Buat kami yang udah nonton Qodrat, dan puas dengan film tersebut final Battle di Pemukiman Setan ini sesungguhnya udah cukup oke, tapi ya kalo ngebandingin dengan Qodrat ya... sedikit terasa penurunannya. https://t.co/hxz4IpJmYt;1750740781038772255
Selain itu kami rasa momen-momen emosional empat karakternya kurang terdeliver dengan baik dan tak terlalu mengena.   Oh ya tambahan lain, pemilihan lagu yang mengiringi pun terasa kurang menyatu dengan situasinya. Kurang ngeblend aja gitu. https://t.co/p62KZVEmNJ;1750740781038772255
Kekurangannya, kami ngerasa lore-lore yg ditampilkan sangat potensial, tetapi sayangnya tak digali lebih dalam, seperti halnya karakter Teuku Rifnu Wikana yg muncul di pertengahan film.  Ya mungkin karena durasi filmnya yg terasa singkat atau sengaja disimpan untuk selanjutnya? https://t.co/ImppowD3Ep;1750740781038772255
Tak ketinggalan Teuki Rifnu Wikana yang surprisingly ngasih elemen komedi di filmnya, dan beliau aktingnya berasa effortless wkwk.  Dan sang karakter utama... Maudy Efrosina mainnya bagus banget di sini, harus liat sendiri gimana kerennya doi di sini ❤️ https://t.co/x45I8RfYeW;1750740781038772255
Akting yang paling menarik perhatian kami tentu saja Adinda Thomas yg tampil sinting sebagai Sukma. Ketawanya saja sungguh annoying.  Selain itu kami juga suka Bhisma Mulia yg tampil hidup dan Ashira Zamita yg berhasil bikin ngakak di that one particular scene 👌 https://t.co/pUxmCYuzFx;1750740781038772255
Film ini dipenuhi dengan hal-hal yg lumayan bikin ngilu. Atmosfernya pun dibuat tegang. Selain itu, jumpscare tipis-tipisnya pun berhasil bikin kami terjaga.  Tapi jangan salah, beberapa momen juga terasa sangat fun sampai membuat kami tertawa 😂 https://t.co/FMpYTeChgX;1750740781038772255
Pemukiman Setan juga menampilkan persona ala superhero layaknya Qodrat. Karakternya mempunyai ajian/senjata/ilmu untuk melawan villainnya. Tentu saja ini membuat fightingnya terasa seru dan fun, walaupun sayangnya tak sebanyak dan seintense Qodrat. https://t.co/EeFZm40xis;1750740781038772255
Meskipun sebagian besar berlokasi di rumah angker, tetapi film ini mampu menjabarkan ceritanya secara luas, baik itu hal tentang hal yg meneror mereka maupun masa lalu karakternya. Alurnya yg menarik pun tak ruwet untuk diikuti. https://t.co/BbGK3GsCRT;1750740781038772255
FYI, Pemukiman Setan sempet tayang di JAFF tahun lalu, dan di versi yang tayang reguler ini ada beberapa upgrade.  Kami udah konfirmasi kalo ternyata dari audio dan urusan CGI yang versi tayang reguler ini udah dipolish lebih oke ketimbang yang tayang di JAFF.  Balik ke review~ https://t.co/7fNwO9XCgF;1750740781038772255
Openingnya yang brutal nan ikonik bener-bener jangan sampe terlewatkan. Jangan telat masuk studio saat filmnya tayang ya!  Kami suka bagaimana film ini berhasil bikin tegang dan penasaran sejak menit-menit di awal. Kerasa banget gak babibu-nya nih film. Langsung gaspol. https://t.co/bMqZ8Dowpc;1750740781038772255
Secara garis besar, treatment Pemukiman Setan ini sedikit banyak mengingatkan kami pada Qodrat.  Buat yang udah nonton Qodrat pasti tau betapa ikonik openingnya, ditambah film ini pun punya unsur fighting yang kental-- yang tentu saja ini merupakan beberapa hal yang bagus. https://t.co/MrSKiz0z5U;1750740781038772255
"Pemukiman Setan merupakan film terbaru dari Charles Gozali yg berkisah tentang sekelompok pencuri yang mendapatkan terror"" di rumah angker yang mereka rampok.  https://t.co/fF1TwrKNjC""";1750740781038772255
Oke berikut review kami untuk Pemukiman Setan (2024)  #wmidreview https://t.co/eFZErqWR1C;1750740781038772255
Not Friends (2024) Rating: Panjang Umur Sinema, Kawanku! / 10 https://t.co/LVZ58XMhk0;1749948895222968324
Not Friends merupakan debut penyutradaraan yang memuaskan dari Atta Hemwadee!  Drama sekolah coming of age yg ringan dan menggelitik, cocok buat ditonton ramean sama teman sekolah atau teman ngantor. Siap2 dibuat ketawa, nangis, ketawa, nangis sambil ketawa.  Highly recommended! https://t.co/PR1IbM9ou3;1749948895222968324
Kurangnya film ini menurut kami cuma satu sih. Filmnya seperti agak kebingungan untuk menentukan endingnya. Jadi endingnya terasa overstrecthed, bikin durasinya jadi agak kepanjangan. https://t.co/YlgpZZhbU4;1749948895222968324
Jajaran aktor muda yang bermain di film ini juga mantap banget, Anthony Buisseret beneran tampil prima memainkan karakter Pae.  Komedinya dapet, dilema sipaling mencari jati diri pun dapet. Kevin Anggara juga sebagai Joe, tak kalah mantap. https://t.co/27grxke8lr;1749948895222968324
Salah satu elemen terkuat dari film ini menurut kami adalah komedinya yang chaos banget, khas film Thailand pada umumnya.  Tapi tentu saja film ini tak lupa menyelipkan banyak easter egg yang sinefil banget, WKWKWKKWKW. https://t.co/BL3b3BVr1o;1749948895222968324
Masih terngiang banget tuh line dialognya: ‘panjang umur sinema, kawanku!’.  Sungguh sebuah surat cinta untuk sinema! (PS: Shoutout untuk tim subtitle indonya! Apikkkk! https://t.co/kPk8keZnE0;1749948895222968324
Lika liku perjalanan Pae dkk dalam memproduksi film pendek ini juga menjadi sebuah medium bercerita yang unik dan asik untuk dieksplor. Sedikit sebanyak tu kita jadi tau gitu, keseruan bikin film bersama teman-teman.   https://t.co/2qPzvBtspJ;1749948895222968324
Premisnya sekilas terlihat sederhana. Namun, film ini berhasil meramunya menjadi kisah persahabatan dan pencarian jati diri yang cukup kompleks.  Kompleksitas ini juga didukung dengan penulisan karakter-karakternya yang apik. Naik turun perkembangan karakternya tu bener-bener tak… https://t.co/0RtLu5qzxv;1749948895222968324
Not Friends adalah sebuah film sekolah coming of age yang bercerita tentang Pae, seorang pelajar SMA yang ingin membuat film pendek untuk mengenang Joe, teman sebangkunya yang tiba-tiba meninggal.  Meski tak pernah membuat film sebelumnya, Pae bersama kru dadakannya tetap… https://t.co/IMT1fS88We;1749948895222968324
Rasanya kaya udah lama banget ya kita ga lihat kisah persahabatan anak sekolah semanis ini, di layar lebar.   Dan di awal tahun 2024 ini, NOT FRIENDS benar-benar sukses menghadirkan kembali hal tersebut ❤️ https://t.co/WZRw3C5V0x;1749948895222968324
Oke berikut review kami untuk Not Friends (2024)  #wmidreview https://t.co/P7yOLUtLUw;1749948895222968324
Ancika: Dia Yang Bersamaku 1995 (2024) Rating: Bajingan / 10 https://t.co/VCGP3GwWcv;1747572554855068107
